,<limits_VREG / None>,<limits_VREF / None>,pr1,pr2,pr3,pr4,pr5,zr1,zr2,zr3,zr4,zr5,pi1,pi2,pi3,pi4,pi5,zi1,zi2,zi3,zi4,zi5,mode_id
0,2.9047209617947485,1.5041266413692287,948394422.4717313,948394422.4717313,314746813.60507447,-6878531.169071433,-6878531.169071433,-24460801.186990377,1480281.2134260396,1480281.2134260656,1167474649.3575468,1167474649.3575473,-1114351489.7499456,1114351489.7499456,-0.0,-5066256.859988062,5066256.859988062,4.365296197277075e-09,-26755431.995187636,26755431.99518761,1390379024.0317166,-1390379024.0317159,()
1,2.909934304043511,1.5461988908320965,1092243619.3489435,1092243619.3489435,316113790.25228363,-5903955.773102128,-5903955.773102128,-23977523.226952787,2170849.1795983356,2170849.179598354,1192055750.6469913,1192055750.6469944,-1334282580.2299895,1334282580.2299895,-0.0,-4399778.033808013,4399778.033808013,2.6862087757793606e-08,-26910251.590557422,26910251.59055744,1757112316.1404,-1757112316.140398,()
2,2.9008868679423943,1.5960636405794029,1092542990.6728485,1092542990.6728485,316619112.3392863,-18168603.685186986,5587247.889227439,-26775143.330135774,3200650.152052822,3200650.152052831,1192814262.6196578,1192814262.619659,-1326348226.8658564,1326348226.8658564,-0.0,0.0,-0.0,1.1616466572151865e-09,-25256435.033427592,25256435.03342757,-1749919580.802914,1749919580.8029108,()
3,2.919179550430877,1.6520180940598324,995934638.8354042,995934638.8354042,314273285.03448975,-8870759.324195765,-4867378.169983095,-24948668.180037927,1722925.202365779,1722925.202365787,1189099536.202886,1189099536.2028875,-1161704965.8953512,1161704965.8953512,-0.0,0.0,0.0,1.1568833275823664e-08,26484607.740697898,-26484607.7406979,1481119556.0451996,-1481119556.0451977,()
4,2.915101084016703,1.6688771270276126,773720129.039024,459258515.1182199,-5583276.634060538,-5583276.634060538,3542418.4602008336,-26777755.686796017,-8734698.355497267,-8734698.355496759,39777678.74831089,1630726874.2831748,-0.0,-0.0,-10314913.601983905,10314913.601983905,-0.0,2.198990567030158e-07,-29992515.262058657,29992515.2620588,-4.267410893358884e-07,2.603063178804451e-07,()
5,2.9307336001634963,1.5158894214480483,1110862744.7391725,1110862744.7391725,315753901.8104452,-20512247.56162007,5311343.220391694,-28181059.856356613,2603336.4007126265,2603336.400712631,1206502320.5207627,1206502320.5207632,-1352544599.8998578,1352544599.8998578,-0.0,0.0,-0.0,2.2424499223494467e-08,24925287.500691056,-24925287.500691067,1783103698.6391456,-1783103698.6391468,()
6,2.922877742154756,1.5502061097477178,6627772016.263186,780503676.7180691,420991463.8284951,-44920213.644619204,24369481.549125046,-45589231.32093817,10670689.622419693,10670689.622419693,1598000434.139885,6449057078.490388,0.0,0.0,0.0,0.0,0.0,0.0,-9797634.274823401,9797634.274823401,-0.0,-0.0,()
7,2.9261920057677187,1.617582521047602,1106008655.789855,1106008655.789855,315511957.1108314,-22340234.654167145,6599315.692422481,-29087335.178592164,2796876.778467031,2796876.7784670657,1204178632.362314,1204178632.3623142,-1333917509.1587603,1333917509.1587603,-0.0,0.0,-0.0,-1.332749869776034e-08,-24502446.385140613,24502446.385140613,-1761484916.4524477,1761484916.4524496,()
8,2.9382892004877843,1.6535550782234107,787849601.4291697,451348856.40707254,-4691808.681274149,-4691808.681274149,2459205.5267270356,-26193469.851426445,-8188319.381799312,-8188319.38179924,38365373.42214318,1638132999.2106357,-0.0,-0.0,-9719447.715832448,9719447.715832448,-0.0,6.274435965421029e-08,-29420181.93599974,29420181.935999736,-1.3335659041740827e-08,-6.752303726667914e-08,()
9,2.93533631892362,1.6664478539339747,784388107.1345884,452260701.8492044,-5617261.7638693,-5617261.7638693,3625322.558198627,-26226918.585001573,-8436501.312727572,-8436501.312726868,38225321.08735317,1634619752.7329302,-0.0,-0.0,-10506469.630241772,10506469.630241772,-0.0,2.666711652418918e-07,-29456827.918029405,29456827.918029618,-5.778785584754358e-07,3.0026303366342453e-07,()
10,2.946196999145991,1.5300526827310168,797243747.4631071,449199901.467968,-5605331.712558575,-5605331.712558575,3517168.287445889,-26163768.027916506,-8374173.815723117,-8374173.815723043,37838135.7953369,1648383898.5868118,-0.0,-0.0,-10361251.648816224,10361251.648816224,-0.0,-1.2368684441284485e-08,29310448.21060847,-29310448.210608445,4.0006977125256583e-08,-1.0268532097531593e-07,()
11,2.955531578481312,1.5761239562131026,795774066.1418718,446429214.7704092,-5437969.410075003,-5437969.410075003,3243585.2154246094,-25799770.38044566,-8139281.527785269,-8139281.52778495,36814316.87095061,1641465553.7900805,-0.0,-0.0,-10277310.811024204,10277310.811024204,-0.0,-1.4543795967636975e-07,28916642.57569914,-28916642.57569928,3.044975481200084e-07,-9.266044036135052e-08,()
12,2.958400676684816,1.5823124867369311,988095568.8919914,988095568.8919914,310689966.21317774,-6949535.929055159,-6949535.929055159,-25129950.4489708,1559847.9099548818,1559847.9099549747,1179692393.2483933,1179692393.2483947,-1167595138.4729037,1167595138.4729037,-0.0,-2081528.3297005424,2081528.3297005424,1.4595818027290557e-08,-27023318.9155798,27023318.915579773,1480991740.8414214,-1480991740.8414185,()
13,2.9493918521705322,1.6379120388404393,788384005.1302952,448276140.5959923,-5415898.385564589,-5415898.385564589,3205861.935405461,-25872459.850216426,-8191153.119648622,-8191153.119647726,37071995.92082223,1633725630.5472133,-0.0,-0.0,-10316223.539661767,10316223.539661767,-0.0,4.714030206482966e-07,-29019111.146753404,29019111.146753717,-9.157152542580757e-07,5.426310342676029e-07,()
14,2.9500396918380694,1.6780744046464209,791247934.3521878,447371061.8630706,-5308675.9433276495,-5308675.9433276495,2947529.74118653,-25883632.314226422,-8171295.46219412,-8171295.462193877,36974397.42087401,1636440801.5038266,-0.0,-0.0,-10165563.345217159,10165563.345217159,-0.0,9.759400424940481e-08,-28978981.369678445,28978981.36967853,-1.9336705611760336e-07,3.335470719855533e-08,()
15,2.9694717577517027,1.5084535908119745,809638802.331978,441976765.375651,-5545463.641843465,-5545463.641843465,3435895.8233443713,-25479246.673566896,-7975108.2030254165,-7975108.2030246435,35907888.88871311,1654235030.5381978,-0.0,-0.0,-10415060.26066249,10415060.26066249,-0.0,-3.478209472086143e-07,28594496.941215787,-28594496.941216003,6.312211946827512e-07,-3.365302003826448e-07,()
16,2.9789098060649986,1.5706430167370349,805432187.9663929,439428899.86395514,-5389388.7546930285,-5389388.7546930285,3131188.9168768954,-25083811.687678266,-7709454.22213212,-7709454.222131914,34721810.169786125,1643668449.337901,-0.0,-0.0,-10187364.0022034,10187364.0022034,-0.0,-1.426584598422983e-07,28088860.655709866,-28088860.655709956,2.4226447260711226e-07,-3.4701689918330336e-08,()
17,2.9706351849278274,1.5926715814581331,799671969.4085393,441885393.3929407,-5413515.107663632,-5413515.107663632,3195495.031815127,-25294480.350650262,-7838450.252886704,-7838450.252885962,35358142.037472166,1639421979.002772,-0.0,-0.0,-10220972.96258505,10220972.96258505,-0.0,-3.8285050028151344e-07,28336115.99232276,-28336115.992323022,7.312386375034478e-07,-2.4945188517046846e-07,()
18,2.9757553695608134,1.6314473360337178,990044470.079394,990044470.079394,309178097.5974389,-9499644.67733726,-3690379.3918480347,-25197586.325537287,1868525.9511168364,1868525.951116845,1181038003.960089,1181038003.9600894,-1167528002.5560248,1167528002.5560248,-0.0,0.0,0.0,-1.641659725902266e-08,27131531.227486424,-27131531.2274864,-1480087114.8239539,1480087114.823953,()
19,2.9658821149325254,1.6969608817644726,794818577.6769098,442642752.3335751,-5588007.187958231,-5588007.187958231,3566791.0744549707,-25303301.880966704,-7879547.88770849,-7879547.887708153,35506121.04105444,1633605992.2588603,-0.0,-0.0,-10384994.12249528,10384994.12249528,-0.0,-1.5355445694587278e-07,28386916.507408146,-28386916.50740822,2.7338101037316337e-07,-7.544733404050028e-08,()
20,2.990167447506655,1.5255192805750897,819415810.9335629,435654502.9409333,-5349195.368565207,-5349195.368565207,3048808.687148355,-24865962.168074742,-7556119.691764664,-7556119.691763716,34015945.430519156,1657738687.1844952,-0.0,-0.0,-10097056.414540851,10097056.414540851,-0.0,-4.068318113060122e-07,27815068.278489664,-27815068.27848994,7.868038835130068e-07,-3.659230555328833e-07,()
21,2.9899818745365,1.5590805735639108,809085778.2273201,436370039.0208722,-5408637.545416689,-5408637.545416689,3178878.8084772266,-24680711.738171797,-7482913.07281347,-7482913.072812942,33631056.43224431,1643764124.2102344,-0.0,-0.0,-10196043.154527275,10196043.154527275,-0.0,2.4522077477514555e-07,-27643354.91790967,27643354.917909823,-4.645254566511265e-07,2.2955297298115958e-07,()
22,2.9821509414149547,1.6040681546191031,803608265.4623058,438498964.10058844,-5472457.860950532,-5472457.860950532,3350497.6748301834,-24879894.964221753,-7615438.849666397,-7615438.849665438,34284666.2551921,1639382611.5029976,-0.0,-0.0,-10309238.436363433,10309238.436363433,-0.0,-4.593977386809582e-07,27911100.96630926,-27911100.966309544,7.890264933547841e-07,-2.939678254947969e-07,()
23,2.9981259231863464,1.6205765129209633,816558978.525821,433171582.6683469,-4507618.1739997,-4507618.1739997,1651439.9854577803,-24313483.39872689,-7213699.626254676,-7213699.626253429,32837554.434370838,1649294829.9435961,-0.0,-0.0,-10388726.346873604,10388726.346873604,-0.0,-4.889843669656901e-07,27525353.837787103,-27525353.837787524,9.93506598676591e-07,-4.489671877688397e-07,()
24,2.9836421466600234,1.6883513432738653,801220296.3677467,437580482.88851106,-5364898.220046327,-5364898.220046327,3064766.142622162,-24748390.274916373,-7528907.304791749,-7528907.304790774,33817475.907308705,1634319676.5896409,-0.0,-0.0,-10207540.4522984,10207540.4522984,-0.0,4.723877831838903e-07,-27726142.201037835,27726142.20103812,-8.623726179789147e-07,4.5290314974083357e-07,()
25,2.9284487393162646,1.6089522884361478,1093019579.2224884,1093019579.2224884,313492650.31958324,-2576319.3669145047,-2576319.3669145047,-19138230.32387677,2877367.9374205084,2877367.93742051,1192643594.2309885,1192643594.23099,-1326223512.079713,1326223512.079713,-0.0,-15537144.079882191,15537144.079882191,-1.1360796093739477e-09,30104917.128316235,-30104917.12831623,-1746900575.6534975,1746900575.6534975,()
26,2.993985244981111,1.5613511374411493,822418735.6268791,434292933.50195014,-5509572.785385487,-5509572.785385487,3334425.291689633,-24700625.075655352,-7505734.253429065,-7505734.25342816,33631643.108820625,1659717076.9315221,-0.0,-0.0,-10281421.047627246,10281421.047627246,-0.0,4.2333827865110245e-07,-27673676.612253383,27673676.612253703,-7.86803883413752e-07,3.911793318667242e-07,()
27,2.9409210161165324,1.6449796178732696,770773389.5615155,452668535.004605,-5422940.4326468855,-5422940.4326468855,3231142.171131774,-25949098.532054603,-8248054.710244512,-8248054.710244237,37373760.88513068,1615028731.071875,-0.0,-0.0,-10309208.141989449,10309208.141989449,-0.0,-1.1474800728375671e-07,29101622.9358511,-29101622.935851194,2.0892532497427316e-07,-1.561193313255923e-07,()
28,2.911861763278611,1.680673196258119,765075300.3863735,461239667.0099363,-5423499.595851012,-5423499.595851012,3234822.9336195765,-26781880.966548216,-8723673.718860963,-8723673.718860716,39791625.29961095,1621214169.724447,-0.0,-0.0,-10232500.620821489,10232500.620821489,-0.0,1.1735882607019123e-07,-29996907.977346756,29996907.977346845,-2.0448010529396945e-07,1.241361574178812e-07,()
29,2.960762898134129,1.5374362138341913,808166328.3765439,444223894.65023446,-5522909.034826476,-5522909.034826476,3382490.6758247926,-25785525.244651195,-8136113.587032506,-8136113.58703189,36724119.06789064,1655898426.1118362,-0.0,-0.0,-10322809.181890449,10322809.181890449,-0.0,3.411428700077786e-07,-28897306.769428167,28897306.76942834,-5.801011682796307e-07,3.358718733578536e-07,()
